date,Afghanistan,Bangladesh,Bhutan,India,Pakistan,Maldives,Nepal,Sri Lanka
06-08-20,575,2735,0,8442,4646,13,314,22
06-09-20,542,3171,0,10218,5385,26,324,2
06-10-20,683,3190,0,10459,5834,20,278,10
06-11-20,748,3187,3,10930,6397,14,250,8
06-12-20,656,3471,0,11458,0,27,448,3
06-13-20,556,2856,4,11929,6472,10,273,4
06-14-20,664,3141,0,11502,12073,22,425,5
06-15-20,761,3099,1,10667,4443,30,451,16
06-16-20,783,3862,0,10974,5839,29,380,10
06-17-20,564,4008,0,12881,5358,26,586,9
06-18-20,658,3803,0,13586,4944,17,671,23
06-19-20,346,3243,1,14516,6604,13,426,3
06-20-20,546,3240,0,15403,4951,37,331,0
06-21-20,409,3531,0,14831,4471,16,421,0
06-22-20,324,3480,0,14933,3946,14,535,1
06-23-20,324,3412,2,15968,3892,21,538,40
06-24-20,159,3462,0,16922,4044,23,629,10
06-25-20,535,3946,0,17296,2775,16,434,9
06-26-20,276,3868,0,18552,3138,6,593,4
06-27-20,165,3504,5,19906,4072,22,554,19
